wilayah,waktu,cuaca
DKI Jakarta,2026-05-02 14:00:00,Hujan Ringan
DKI Jakarta,2026-05-02 17:00:00,Hujan Ringan
DKI Jakarta,2026-05-02 20:00:00,Hujan Ringan
DKI Jakarta,2026-05-02 23:00:00,Berawan
DKI Jakarta,2026-05-03 02:00:00,Cerah
DKI Jakarta,2026-05-03 05:00:00,Cerah Berawan
DKI Jakarta,2026-05-03 08:00:00,Berawan
DKI Jakarta,2026-05-03 11:00:00,Hujan Ringan
DKI Jakarta,2026-05-03 14:00:00,Hujan Ringan
DKI Jakarta,2026-05-03 17:00:00,Berawan
DKI Jakarta,2026-05-03 20:00:00,Berawan
DKI Jakarta,2026-05-03 23:00:00,Berawan
DKI Jakarta,2026-05-04 02:00:00,Berawan
DKI Jakarta,2026-05-04 05:00:00,Berawan
DKI Jakarta,2026-05-04 08:00:00,Hujan Ringan
DKI Jakarta,2026-05-04 11:00:00,Hujan Petir
DKI Jakarta,2026-05-04 14:00:00,Hujan Petir
DKI Jakarta,2026-05-04 17:00:00,Hujan Ringan
DKI Jakarta,2026-05-04 20:00:00,Berawan
DKI Jakarta,2026-05-04 23:00:00,Berawan
